algo,graph_type,count_of_edges,count_of_vertex,time
Dijkstra,Tree graph,9,10,20575
Dijkstra,Tree graph,59,60,89966
Dijkstra,Tree graph,109,110,164700
Dijkstra,Tree graph,159,160,234766
Dijkstra,Tree graph,209,210,307541
Dijkstra,Tree graph,259,260,375541
Dijkstra,Tree graph,309,310,484917
Dijkstra,Tree graph,359,360,570758
Dijkstra,Tree graph,409,410,597333
Dijkstra,Tree graph,459,460,673266
Dijkstra,Tree graph,509,510,753316
Dijkstra,Tree graph,559,560,858125
Dijkstra,Tree graph,609,610,1042966
Dijkstra,Tree graph,659,660,1038833
Dijkstra,Tree graph,709,710,1148683
Dijkstra,Tree graph,759,760,1159492
Dijkstra,Tree graph,809,810,1161900
Dijkstra,Tree graph,859,860,1180750
Dijkstra,Tree graph,909,910,1274816
Dijkstra,Tree graph,959,960,1335408
Dijkstra,Tree graph,1009,1010,1378641
Dijkstra,Sparse graph,18,10,20583
Dijkstra,Sparse graph,708,60,272924
Dijkstra,Sparse graph,2398,110,764658
Dijkstra,Sparse graph,5088,160,1357058
Dijkstra,Sparse graph,8778,210,2163050
Dijkstra,Sparse graph,13468,260,3018750
Dijkstra,Sparse graph,19158,310,4271075
Dijkstra,Sparse graph,25848,360,5631175
Dijkstra,Sparse graph,33538,410,7304374
Dijkstra,Sparse graph,42228,460,9175166
Dijkstra,Sparse graph,51918,510,11824233
Dijkstra,Sparse graph,62608,560,12123574
Dijkstra,Sparse graph,74298,610,15163449
Dijkstra,Sparse graph,86988,660,20007333
Dijkstra,Sparse graph,100678,710,24285516
Dijkstra,Sparse graph,115368,760,22657266
Dijkstra,Sparse graph,131058,810,25167466
Dijkstra,Sparse graph,147748,860,29640675
Dijkstra,Sparse graph,165438,910,32564266
Dijkstra,Sparse graph,184128,960,37966333
Dijkstra,Sparse graph,203818,1010,39735366
Dijkstra,Complete graph,45,10,29616
Dijkstra,Complete graph,1770,60,439966
Dijkstra,Complete graph,5995,110,1269508
Dijkstra,Complete graph,12720,160,2609283
Dijkstra,Complete graph,21945,210,4138017
Dijkstra,Complete graph,33670,260,6740633
Dijkstra,Complete graph,47895,310,9061991
Dijkstra,Complete graph,64620,360,11737825
Dijkstra,Complete graph,83845,410,14759166
Dijkstra,Complete graph,105570,460,18493224
Dijkstra,Complete graph,129795,510,22330650
Dijkstra,Complete graph,156520,560,30177933
Dijkstra,Complete graph,185745,610,35379908
Dijkstra,Complete graph,217470,660,41018358
Dijkstra,Complete graph,251695,710,46219600
Dijkstra,Complete graph,288420,760,53459841
Dijkstra,Complete graph,327645,810,58256533
Dijkstra,Complete graph,369370,860,63138900
Dijkstra,Complete graph,413595,910,73751850
Dijkstra,Complete graph,460320,960,84019199
Dijkstra,Complete graph,509545,1010,87430183
Bellman-Ford,Tree graph,9,10,10725
Bellman-Ford,Tree graph,59,60,41858
Bellman-Ford,Tree graph,109,110,74116
Bellman-Ford,Tree graph,159,160,107800
Bellman-Ford,Tree graph,209,210,136466
Bellman-Ford,Tree graph,259,260,172483
Bellman-Ford,Tree graph,309,310,202433
Bellman-Ford,Tree graph,359,360,234999
Bellman-Ford,Tree graph,409,410,261624
Bellman-Ford,Tree graph,459,460,298083
Bellman-Ford,Tree graph,509,510,325266
Bellman-Ford,Tree graph,559,560,382449
Bellman-Ford,Tree graph,609,610,392175
Bellman-Ford,Tree graph,659,660,426808
Bellman-Ford,Tree graph,709,710,450241
Bellman-Ford,Tree graph,759,760,480533
Bellman-Ford,Tree graph,809,810,519208
Bellman-Ford,Tree graph,859,860,553216
Bellman-Ford,Tree graph,909,910,567900
Bellman-Ford,Tree graph,959,960,602283
Bellman-Ford,Tree graph,1009,1010,627966
Bellman-Ford,Sparse graph,18,10,14958
Bellman-Ford,Sparse graph,708,60,305166
Bellman-Ford,Sparse graph,2398,110,965633
Bellman-Ford,Sparse graph,5088,160,1963033
Bellman-Ford,Sparse graph,8778,210,3332241
Bellman-Ford,Sparse graph,13468,260,4702258
Bellman-Ford,Sparse graph,19158,310,6912758
Bellman-Ford,Sparse graph,25848,360,9066391
Bellman-Ford,Sparse graph,33538,410,12343333
Bellman-Ford,Sparse graph,42228,460,15374299
Bellman-Ford,Sparse graph,51918,510,17830175
Bellman-Ford,Sparse graph,62608,560,20721916
Bellman-Ford,Sparse graph,74298,610,25984516
Bellman-Ford,Sparse graph,86988,660,31764925
Bellman-Ford,Sparse graph,100678,710,34463891
Bellman-Ford,Sparse graph,115368,760,38993474
Bellman-Ford,Sparse graph,131058,810,43715683
Bellman-Ford,Sparse graph,147748,860,51324091
Bellman-Ford,Sparse graph,165438,910,58622566
Bellman-Ford,Sparse graph,184128,960,62644716
Bellman-Ford,Sparse graph,203818,1010,69067733
Bellman-Ford,Complete graph,45,10,30208
Bellman-Ford,Complete graph,1770,60,651350
Bellman-Ford,Complete graph,5995,110,2128700
Bellman-Ford,Complete graph,12720,160,4417591
Bellman-Ford,Complete graph,21945,210,7441933
Bellman-Ford,Complete graph,33670,260,12043958
Bellman-Ford,Complete graph,47895,310,16289642
Bellman-Ford,Complete graph,64620,360,20996466
Bellman-Ford,Complete graph,83845,410,27708908
Bellman-Ford,Complete graph,105570,460,34274700
Bellman-Ford,Complete graph,129795,510,40390541
Bellman-Ford,Complete graph,156520,560,54143925
Bellman-Ford,Complete graph,185745,610,61967699
Bellman-Ford,Complete graph,217470,660,70849616
Bellman-Ford,Complete graph,251695,710,80631392
Bellman-Ford,Complete graph,288420,760,97762450
Bellman-Ford,Complete graph,327645,810,107686241
Bellman-Ford,Complete graph,369370,860,119258733
Bellman-Ford,Complete graph,413595,910,131508000
Bellman-Ford,Complete graph,460320,960,145377558
Bellman-Ford,Complete graph,509545,1010,157887133
Floyd–Warshall,Tree graph,9,10,16475
Floyd–Warshall,Tree graph,59,60,2711600
Floyd–Warshall,Tree graph,109,110,16874833
Floyd–Warshall,Tree graph,159,160,50880066
Floyd–Warshall,Tree graph,209,210,114562324
Floyd–Warshall,Tree graph,259,260,217457916
Floyd–Warshall,Tree graph,309,310,367709566
Floyd–Warshall,Tree graph,359,360,574346450
Floyd–Warshall,Tree graph,409,410,847160433
Floyd–Warshall,Tree graph,459,460,1194353341
Floyd–Warshall,Tree graph,509,510,1645143541
Floyd–Warshall,Tree graph,559,560,2155882483
Floyd–Warshall,Tree graph,609,610,2816253008
Floyd–Warshall,Tree graph,659,660,3532707992
Floyd–Warshall,Tree graph,709,710,4400417491
Floyd–Warshall,Tree graph,759,760,5419100708
Floyd–Warshall,Tree graph,809,810,6527060166
Floyd–Warshall,Tree graph,859,860,7814436208
Floyd–Warshall,Tree graph,909,910,9242985500
Floyd–Warshall,Tree graph,959,960,10843515183
Floyd–Warshall,Tree graph,1009,1010,12694300691
Floyd–Warshall,Sparse graph,18,10,17483
Floyd–Warshall,Sparse graph,708,60,2750267
Floyd–Warshall,Sparse graph,2398,110,16741850
Floyd–Warshall,Sparse graph,5088,160,51257333
Floyd–Warshall,Sparse graph,8778,210,114843491
Floyd–Warshall,Sparse graph,13468,260,216992867
Floyd–Warshall,Sparse graph,19158,310,367619683
Floyd–Warshall,Sparse graph,25848,360,574196933
Floyd–Warshall,Sparse graph,33538,410,858409583
Floyd–Warshall,Sparse graph,42228,460,1197012258
Floyd–Warshall,Sparse graph,51918,510,1658508549
Floyd–Warshall,Sparse graph,62608,560,2176298166
Floyd–Warshall,Sparse graph,74298,610,2792657425
Floyd–Warshall,Sparse graph,86988,660,3550875666
Floyd–Warshall,Sparse graph,100678,710,4418110633
Floyd–Warshall,Sparse graph,115368,760,5404405300
Floyd–Warshall,Sparse graph,131058,810,6537527966
Floyd–Warshall,Sparse graph,147748,860,7824856099
Floyd–Warshall,Sparse graph,165438,910,9260768683
Floyd–Warshall,Sparse graph,184128,960,10865824108
Floyd–Warshall,Sparse graph,203818,1010,12679825275
Floyd–Warshall,Complete graph,45,10,18266
Floyd–Warshall,Complete graph,1770,60,2815350
Floyd–Warshall,Complete graph,5995,110,17440408
Floyd–Warshall,Complete graph,12720,160,51994408
Floyd–Warshall,Complete graph,21945,210,116903016
Floyd–Warshall,Complete graph,33670,260,220243825
Floyd–Warshall,Complete graph,47895,310,372273625
Floyd–Warshall,Complete graph,64620,360,580896891
Floyd–Warshall,Complete graph,83845,410,856102283
Floyd–Warshall,Complete graph,105570,460,1207555833
Floyd–Warshall,Complete graph,129795,510,1643784508
Floyd–Warshall,Complete graph,156520,560,2184917341
Floyd–Warshall,Complete graph,185745,610,2810042608
Floyd–Warshall,Complete graph,217470,660,3558761250
Floyd–Warshall,Complete graph,251695,710,4426863066
Floyd–Warshall,Complete graph,288420,760,5430628508
Floyd–Warshall,Complete graph,327645,810,6561777125
Floyd–Warshall,Complete graph,369370,860,8128198983
Floyd–Warshall,Complete graph,413595,910,97090972616
Floyd–Warshall,Complete graph,460320,960,11445864541
Floyd–Warshall,Complete graph,509545,1010,12734126508
